Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
File1053.txt,24,2,4,3,1,1,1,0,3,12.0000,24.0000,8.0000,1.5000,4.0000,3.0000,0.3333,1.0000,0.5000,1.0000,0.0000,0.0000,3.0000,1.0000
File21269.txt,193,15,26,20,13,6,3,7,24,12.8667,14.8462,9.6500,1.3333,2.0000,1.5385,0.3000,0.4615,0.8667,0.2308,0.5385,0.3500,1.8462,1.2000
File17903.txt,50,4,6,5,5,0,0,1,4,12.5000,10.0000,10.0000,1.2500,1.2000,1.0000,0.0000,0.0000,1.2500,0.0000,0.2000,0.2000,0.8000,0.8000
File7422.txt,17,2,5,3,2,1,1,0,1,8.5000,8.5000,5.6667,1.5000,2.5000,1.5000,0.3333,0.5000,1.0000,0.5000,0.0000,0.0000,0.5000,0.3333
File8711.txt,119,9,19,14,9,4,5,3,9,13.2222,13.2222,8.5000,1.5556,2.1111,1.5556,0.2857,0.4444,1.0000,0.5556,0.3333,0.2143,1.0000,0.6429
File7344.txt,69,7,10,9,6,2,1,4,6,9.8571,11.5000,7.6667,1.2857,1.6667,1.5000,0.2222,0.3333,0.8571,0.1667,0.6667,0.4444,1.0000,0.6667
File8077.txt,19,3,3,3,3,0,0,1,1,6.3333,6.3333,6.3333,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.3333,0.3333,0.3333,0.3333
File19090.txt,57,6,12,10,9,2,2,1,2,9.5000,6.3333,5.7000,1.6667,1.3333,1.1111,0.2000,0.2222,1.5000,0.2222,0.1111,0.1000,0.2222,0.2000
File20611.txt,67,6,11,9,7,2,2,0,6,11.1667,9.5714,7.4444,1.5000,1.5714,1.2857,0.2222,0.2857,1.1667,0.2857,0.0000,0.0000,0.8571,0.6667
File1735.txt,51,5,9,8,6,3,3,1,1,10.2000,8.5000,6.3750,1.6000,1.5000,1.3333,0.3750,0.5000,1.2000,0.5000,0.1667,0.1250,0.1667,0.1250
File9369.txt,63,4,8,6,5,1,1,1,7,15.7500,12.6000,10.5000,1.5000,1.6000,1.2000,0.1667,0.2000,1.2500,0.2000,0.2000,0.1667,1.4000,1.1667
File24477.txt,84,5,13,9,5,3,2,6,8,16.8000,16.8000,9.3333,1.8000,2.6000,1.8000,0.3333,0.6000,1.0000,0.4000,1.2000,0.6667,1.6000,0.8889
File5553.txt,160,8,26,20,10,10,3,4,15,20.0000,16.0000,8.0000,2.5000,2.6000,2.0000,0.5000,1.0000,1.2500,0.3000,0.4000,0.2000,1.5000,0.7500
File15872.txt,75,7,12,11,8,3,3,0,6,10.7143,9.3750,6.8182,1.5714,1.5000,1.3750,0.2727,0.3750,1.1429,0.3750,0.0000,0.0000,0.7500,0.5455
File4895.txt,388,28,67,50,32,20,11,6,35,13.8571,12.1250,7.7600,1.7857,2.0938,1.5625,0.4000,0.6250,1.1429,0.3438,0.1875,0.1200,1.0938,0.7000
File23318.txt,301,12,47,37,20,17,14,5,33,25.0833,15.0500,8.1351,3.0833,2.3500,1.8500,0.4595,0.8500,1.6667,0.7000,0.2500,0.1351,1.6500,0.8919
