iter	Logloss
0	0.6739270997
1	0.6577379762
2	0.6441899862
3	0.6328967045
4	0.6236411514
5	0.6151691696
6	0.6080164261
7	0.6022296044
8	0.5970449785
9	0.5924673916
10	0.5885963177
11	0.5852059411
12	0.5823549422
13	0.5798701353
14	0.5776007196
15	0.5755035771
16	0.5736815148
17	0.5721686546
18	0.5706973242
19	0.5693878468
20	0.5683277703
21	0.5673579321
22	0.5663705607
23	0.5654171201
24	0.5646264097
25	0.5638638687
26	0.5631370047
27	0.5625188204
28	0.5619519945
29	0.5614811937
30	0.5609265707
31	0.560419439
32	0.5598430507
33	0.5593719743
34	0.5588405872
35	0.5583874835
36	0.5579922095
37	0.5576744521
38	0.5573241883
39	0.5569403921
40	0.5566076341
41	0.5562952357
42	0.5560544394
43	0.5558006428
44	0.5555294617
45	0.5552201897
46	0.5549224829
47	0.5546776358
48	0.5544305665
49	0.5541628028
50	0.5538873401
51	0.5536485343
52	0.5534269335
53	0.5532157662
54	0.55301549
55	0.5528274786
56	0.5526525368
57	0.5524261893
58	0.5522291171
59	0.5520592894
60	0.5518947705
61	0.5517188716
62	0.5515581626
63	0.5514020458
64	0.5512647658
65	0.5511285417
66	0.5509901501
67	0.5508238995
68	0.55067602
69	0.5505254124
70	0.5503975988
71	0.550298772
72	0.550191324
73	0.5500698905
74	0.5499473659
75	0.5498341165
76	0.5497133437
77	0.5495685314
78	0.5494312521
79	0.5493057665
80	0.5491822884
81	0.5490604232
82	0.5489450616
83	0.5488325911
84	0.5487167287
85	0.548610142
86	0.5484935166
87	0.5483776855
88	0.5482869389
89	0.5481887428
90	0.5480987398
91	0.5479989649
92	0.5479150027
93	0.5478217168
94	0.5477283357
95	0.5476399748
96	0.547553257
97	0.5474542969
98	0.5473543876
99	0.5472576952
100	0.5471788305
101	0.5471003019
102	0.547010516
103	0.5469137882
104	0.5468255161
105	0.5467451434
106	0.5466576048
107	0.5465761762
108	0.5464933033
109	0.5464247095
110	0.5463432414
111	0.5462598821
112	0.5461706641
113	0.5461043625
114	0.5460137145
115	0.5459593275
116	0.5458903504
117	0.5458223492
118	0.5457334788
119	0.5456618741
120	0.5455961611
121	0.545538593
122	0.5454693991
123	0.5454040548
124	0.5453350335
125	0.5452796195
126	0.5452143774
127	0.5451237135
128	0.5450697189
129	0.5450092879
130	0.5449609571
131	0.5449043576
132	0.5448440123
133	0.5447825337
134	0.5447271393
135	0.5446518526
136	0.5445878949
137	0.5445137332
138	0.5444492759
139	0.5443864948
140	0.5443300102
141	0.5442699675
142	0.5442078555
143	0.5441456217
144	0.5440816611
145	0.5440229237
146	0.5439710177
147	0.5438931812
148	0.5438348824
149	0.5437715357
150	0.5437102771
151	0.5436384471
152	0.543578919
153	0.5435174428
154	0.5434635777
155	0.5434003124
156	0.5433447839
157	0.5432823287
158	0.5432233132
159	0.5431521697
160	0.5430876996
161	0.5430232359
162	0.5429560008
163	0.5428878885
164	0.5428221952
165	0.5427633603
166	0.5426997567
167	0.5426194227
168	0.5425691233
169	0.5424994681
170	0.5424352429
171	0.5423678915
172	0.5422921928
173	0.5422238869
174	0.5421561213
175	0.5420883435
176	0.5420144385
177	0.5419500389
178	0.5418795895
179	0.5418186441
180	0.5417594193
181	0.5416823415
182	0.5416220477
183	0.5415506662
184	0.5414803094
185	0.5413970085
186	0.5413367821
187	0.5412638885
188	0.5412078313
189	0.541138459
190	0.5410702572
191	0.5410151017
192	0.5409565788
193	0.5409005141
194	0.5408444526
195	0.5407729507
196	0.5407068771
197	0.5406481889
198	0.5405888397
199	0.5405274772
200	0.5404605363
201	0.5403960991
202	0.5403423826
203	0.5402860595
204	0.5402145966
205	0.5401499354
206	0.5400927696
207	0.540036442
208	0.5399835812
209	0.5399297496
210	0.5398717211
211	0.5398192889
212	0.5397709448
213	0.5397021984
214	0.5396360718
215	0.5395784336
216	0.5395055456
217	0.5394361708
218	0.5393785257
219	0.5393254773
220	0.5392633792
221	0.5392029747
222	0.5391332932
223	0.5390821139
224	0.539023461
225	0.5389832343
226	0.538935533
227	0.538888011
228	0.5388247619
229	0.5387773251
230	0.5387359835
231	0.5386797424
232	0.5386248582
233	0.5385628033
234	0.5385072117
235	0.5384563531
236	0.5384052187
237	0.5383429364
238	0.5382956597
239	0.5382448606
240	0.5381902916
241	0.5381376159
242	0.5380805857
243	0.5380227519
244	0.5379688928
245	0.5379169226
246	0.5378610949
247	0.5378115062
248	0.5377561195
249	0.5377108084
250	0.5376568172
251	0.5376172747
252	0.5375443725
253	0.5374855677
254	0.5374346103
255	0.5373930894
256	0.537341653
257	0.5372953447
258	0.5372527114
259	0.5372070487
260	0.5371503518
261	0.5370985654
262	0.5370485171
263	0.5369943388
264	0.5369457525
265	0.5368918848
266	0.5368451272
267	0.5368045805
268	0.5367572465
269	0.5367176026
270	0.5366635154
271	0.5366190537
272	0.5365612694
273	0.5365103753
274	0.5364752519
275	0.5364328175
276	0.5363912774
277	0.5363466353
278	0.536304096
279	0.5362625841
280	0.5362195031
281	0.5361704929
282	0.5361301517
283	0.5360917166
284	0.536045485
285	0.5360025668
286	0.5359543509
287	0.5359087131
288	0.5358470139
289	0.535796947
290	0.5357529031
291	0.535707116
292	0.535658669
293	0.5356166787
294	0.5355715275
295	0.535539357
296	0.5354977894
297	0.5354567041
298	0.5354101974
299	0.535353633
300	0.5353176001
301	0.5352720936
302	0.5352231598
303	0.5351851796
304	0.5351384776
305	0.5350912533
306	0.5350506545
307	0.5350104204
308	0.5349640618
309	0.5349155678
310	0.5348908171
311	0.5348513272
312	0.5347980726
313	0.5347505528
314	0.5347051923
315	0.5346674089
316	0.5346218192
317	0.5345813654
318	0.5345460972
319	0.5345136401
320	0.5344739675
321	0.5344294174
322	0.5343710669
323	0.5343169688
324	0.5342831442
325	0.5342428867
326	0.5341939624
327	0.5341708092
328	0.5341281359
329	0.5340875805
330	0.5340384996
331	0.5339893998
332	0.5339552257
333	0.5339076187
334	0.5338568142
335	0.5338177783
336	0.5337759183
337	0.5337349092
338	0.5337056018
339	0.5336573775
340	0.5336266533
341	0.5335928933
342	0.5335571917
343	0.5335161399
344	0.5334736243
345	0.5334343046
346	0.5333878867
347	0.5333473831
348	0.5333146733
349	0.5332715599
350	0.5332339567
351	0.5331940737
352	0.5331509563
353	0.5331169297
354	0.5330648209
355	0.5330491359
356	0.5330075515
357	0.532964819
358	0.5329383773
359	0.532915567
360	0.5328738196
361	0.5328286014
362	0.5327922769
363	0.5327492857
364	0.5327084042
365	0.532668783
366	0.5326307291
367	0.5325880159
368	0.5325544401
369	0.5325236021
370	0.5324752459
371	0.5324329159
372	0.5323937246
373	0.5323427083
374	0.5322985706
375	0.532259189
376	0.5322389066
377	0.5321838744
378	0.5321475259
379	0.5321004206
380	0.5320619828
381	0.53201554
382	0.5319795978
383	0.5319414055
384	0.5318969687
385	0.5318583763
386	0.5318300999
387	0.5318039598
388	0.5317578739
389	0.5317143092
390	0.5316853283
391	0.5316617604
392	0.5316243094
393	0.5315872367
394	0.5315628196
395	0.5315280713
396	0.531506375
397	0.5314707088
398	0.5314376514
399	0.5314080528
400	0.5313788995
401	0.5313456232
402	0.5313036866
403	0.5312834183
404	0.5312517587
405	0.5312071423
406	0.5311744339
407	0.5311543882
408	0.5311148727
409	0.5310659703
410	0.5310313437
411	0.531006675
412	0.5309637386
413	0.530949392
414	0.5309288112
415	0.530877848
416	0.5308395095
417	0.5308001238
418	0.5307583649
419	0.5307153446
420	0.5306787652
