iter	Passed	Remaining
0	8479	8470999
1	15840	7904310
2	18616	6186861
3	21978	5472683
4	24028	4781744
5	26201	4340682
6	28427	4032574
7	30633	3798492
8	32814	3613214
9	34869	3452035
10	36850	3313183
11	38939	3206022
12	40962	3109963
13	42987	3027548
14	44994	2954668
15	47070	2894862
16	49092	2838696
17	51030	2783971
18	53407	2757539
19	55423	2715751
20	57494	2680337
21	59445	2642625
22	61379	2607287
23	63429	2579480
24	65434	2551951
25	67370	2523808
26	69273	2496426
27	71127	2469125
28	73033	2445365
29	74885	2421282
30	76834	2401689
31	78919	2387318
32	80918	2371148
33	82752	2351157
34	84763	2337062
35	86767	2323434
36	88703	2308689
37	90635	2294517
38	92490	2279059
39	94373	2264970
40	96281	2252059
41	98183	2239517
42	100009	2225792
43	101846	2212850
44	103797	2202808
45	105775	2193694
46	107826	2186360
47	109744	2176595
48	111705	2167992
49	113503	2156560
50	115419	2147714
51	117473	2141626
52	119366	2132825
53	121272	2124516
54	123340	2119216
55	125430	2114404
56	127325	2106449
57	129468	2102744
58	131638	2099516
59	133563	2092496
60	135613	2087559
61	137425	2079113
62	139226	2070712
63	141130	2064031
64	142991	2056879
65	144890	2050421
66	146796	2044200
67	148902	2040846
68	150776	2034396
69	152610	2027546
70	154461	2021047
71	156223	2013544
72	157865	2004671
73	159744	1998966
74	161824	1995830
75	163836	1991904
76	165889	1988515
77	167909	1984771
78	169681	1978183
79	171505	1972318
80	173277	1965949
81	175027	1959449
82	176871	1954111
83	178942	1951320
84	181078	1949258
85	182934	1944211
86	184961	1941037
87	186963	1937622
88	188771	1932252
89	190646	1927643
90	192703	1924916
91	194542	1920049
92	196321	1914657
93	198137	1909704
94	199961	1904899
95	201981	1901992
96	203913	1898287
97	205858	1894739
98	207907	1892167
99	209884	1888962
100	211733	1884639
101	213506	1879693
102	215427	1876102
103	217381	1872821
104	219259	1868923
105	221254	1866054
106	223246	1863172
107	225262	1860497
108	227166	1856929
109	228950	1852413
110	230826	1848691
111	232773	1845562
112	234803	1843099
113	236634	1839103
114	238438	1834936
115	240289	1831173
116	242104	1827165
117	243846	1822652
118	245991	1821161
119	247689	1816391
120	249458	1812178
121	251258	1808239
122	253072	1804424
123	254856	1800440
124	256596	1796175
125	258495	1793055
126	261820	1799760
127	263904	1797848
128	265726	1794166
129	267564	1790623
130	269297	1786406
131	271161	1783091
132	273351	1781925
133	275243	1778812
134	277195	1776104
135	279118	1773220
136	280839	1769082
137	282838	1766715
138	284609	1762941
139	286815	1761864
140	288689	1758753
141	290871	1757520
142	292858	1755104
143	294611	1751299
144	296454	1748060
145	298209	1744320
146	300111	1741466
147	302170	1739522
148	304211	1737476
149	306259	1735472
150	308696	1735652
151	310671	1733221
152	312531	1730158
153	314669	1728638
154	316817	1727168
155	318871	1725176
156	320853	1722800
157	322809	1720289
158	324714	1717517
159	326700	1715179
160	328644	1712627
161	330464	1709439
162	332499	1707374
163	334312	1704178
164	336376	1702268
165	338412	1700219
166	340378	1697818
167	343598	1701631
168	345436	1698568
169	347224	1695274
170	349194	1692880
171	351441	1691824
172	353265	1688732
173	355349	1686889
174	357368	1684737
175	359288	1682123
176	361466	1680715
177	363645	1679307
178	366009	1678736
179	367910	1676037
180	369771	1673163
181	371933	1671657
182	374059	1669983
183	376017	1667555
184	377975	1665135
185	380306	1664351
186	382297	1662073
187	384391	1660244
188	386220	1657275
189	388472	1656117
190	390536	1654158
191	392362	1651190
192	394241	1648462
193	396239	1646234
194	398032	1643161
195	400186	1641581
196	402334	1639971
197	404450	1638227
198	406343	1635583
199	408244	1632976
200	410035	1629940
201	411771	1626699
202	413487	1623398
203	415240	1620251
204	417103	1617547
205	419018	1615052
206	421296	1613953
207	424698	1617120
208	427178	1616739
209	429799	1616863
210	432239	1616290
211	434816	1616205
212	437872	1617868
213	440307	1617204
214	443138	1617972
215	445651	1617551
216	448309	1617632
217	450991	1617776
218	452840	1614925
219	454863	1612698
220	456706	1609837
221	458577	1607087
222	460442	1604322
223	462488	1602190
224	464540	1600085
225	466389	1597281
226	468433	1595150
227	470512	1593139
228	472539	1590951
229	474479	1588473
230	476310	1585641
231	478120	1582742
232	479930	1579856
233	482101	1578160
234	484209	1576256
235	486188	1573932
236	488105	1571412
237	489872	1568413
238	491629	1565396
239	493725	1563463
240	495581	1560771
241	497326	1557743
242	499181	1555064
243	501073	1552504
244	502948	1549903
245	505002	1547852
246	506727	1544802
247	508466	1541802
248	511858	1543798
249	514520	1543561
250	517004	1542775
251	519062	1540708
252	521392	1539447
253	523481	1537469
254	525656	1535742
255	528655	1536404
256	531562	1536774
257	534272	1536550
258	536216	1534116
259	537961	1531120
260	539958	1528846
261	542334	1527645
262	544720	1526459
263	547430	1526168
264	550005	1525487
265	552288	1523983
266	554164	1521359
267	556109	1518925
268	558291	1517140
269	560162	1514513
270	562336	1512704
271	564612	1511169
272	567446	1511110
273	569497	1508960
274	571451	1506554
275	574096	1505963
276	576528	1504802
277	578403	1502185
278	580288	1499599
279	582840	1498733
280	584621	1495881
281	586743	1493906
282	588823	1491825
283	590756	1489371
284	592890	1487426
285	594793	1484902
286	596937	1482984
287	598784	1480329
288	600963	1478495
289	604731	1480549
290	607562	1480281
291	610246	1479638
292	612423	1477760
293	614510	1475660
294	616442	1473193
295	618188	1470286
296	620031	1467615
297	621816	1464815
298	623626	1462080
299	625526	1459561
300	627434	1457064
301	629549	1455052
302	631400	1452429
303	633133	1449542
304	634985	1446933
305	636900	1444473
306	638879	1442161
307	640777	1439669
308	642733	1437311
309	645162	1436007
310	646874	1433107
311	648800	1430688
312	650929	1428716
313	652816	1426217
314	654670	1423648
315	656512	1421058
316	658684	1419183
317	660550	1416652
318	662253	1413777
319	663965	1410927
320	665889	1408533
321	667770	1406050
322	669613	1403493
323	671799	1401655
324	673507	1398822
325	675272	1396115
326	677259	1393870
327	678990	1391102
328	680652	1388199
329	682592	1385870
330	684694	1383869
331	686765	1381804
332	688585	1379238
333	690640	1377145
334	692528	1374720
335	694175	1371822
336	696023	1369328
337	698318	1367712
338	699979	1364857
339	701738	1362198
340	703599	1359741
341	705369	1357114
342	707144	1354501
343	708944	1351940
344	710696	1349294
345	712502	1346752
346	714429	1344444
347	716076	1341614
348	717806	1338945
349	719523	1336258
350	721249	1333592
351	722871	1330740
352	724686	1328250
353	726327	1325445
354	728978	1324482
355	730697	1321823
356	732569	1319445
357	734305	1316826
358	737436	1316704
359	739106	1313966
360	741084	1311780
361	743260	1309945
362	745069	1307462
363	747074	1305327
364	748749	1302619
365	750546	1300126
366	752319	1297598
367	754067	1295029
368	755855	1292533
